Variable_ID,Description
iw07,UNGLEICHH.I.D.BRD NICHT WEIT.REDUZIERBAR
lg01,PERS. LEBENSVORSTELLUNGEN REALISIERT?
im01,BILDUNGSMOEGL.IN D.:JEDER N.S.BEGABUNG
im02,"WEG Z.ERFOLG:OPPORTUNISM.,RUECKSICHTSLOS"
im03,"WEG ZUM ERFOLG: BILDUNG, AUSBILDUNG"
im04,WEG ZUM ERFOLG: POLITISCHE BETAETIGUNG
im05,"WEG ZUM ERFOLG: ZUFALL, GLUECK"
im06,WEG ZUM ERFOLG: INTELLIGENZ
im07,"WEG ZUM ERFOLG: BEZIEHUNGEN, PROTEKTION"
im08,"WEG ZUM ERFOLG: LEISTUNG, FLEISS"
im09,"WEG ZUM ERFOLG: GELD, VERMOEGEN"
im10,"WEG Z.ERFOLG: INITIATIVE, DURCHSETZUNG"
im11,"WEG Z.ERFOLG: HERKUNFT, RICHTIGE FAMILIE"
im12,"WEG Z.ERFOLG: BESTECHUNG, KORRUPTION"
im13,"WEG Z.ERFOLG: KOOPERATION, OFFENHEIT"
im14,"ERFOLGSBED.,BRD: KLASSENZUGEHOERIGKEIT"
im15,"ERFOLGSBED.,BRD: ELTERNHAUS, SCHICHT"
im16,"ERFOLGSBED.,BRD: BILDUNG,NICHT HERKUNFT"
im17,"ERFOLGSBED.IN D: KONJUNKTUR,SOZIALLEIST."
im18,"GUTES GELD FUER JEDEN,AUCH OHNE LEISTUNG"
im19,EINKOMMENSDIFFERENZ ERHOEHT MOTIVATION
im20,RANGUNTERSCHIEDE SIND AKZEPTABEL
im21,SOZIALE UNTERSCHIEDE SIND GERECHT
im22,"GERECHT: MEHR LEISTUNG, MEHR VERDIENST"
im27,GERECHT: EXTRA HILFEN FUER CARE-ARBEIT
im28,GERECHT: EINKOMMEN GLEICH VERTEILT
im29,GERECHT: WENN OBENSTEHENDE BESSER LEBEN
is01,PERSOENLICH.ALTERSSICHERUNG AUSREICHEND?
mi01,ZUZUG VON: AUSSIEDLERN AUS OSTEUROPA
mi02,ZUZUG VON: ASYLSUCHENDEN
mi03,ZUZUG VON: EU-ARBEITNEHMERN
mi04,ZUZUG VON: NICHT-EU-ARBEITNEHMERN
mi05,ZUZUG VON: KRIEGSFLUECHTLINGEN
mi06,ZUZUG VON: POLITISCH VERFOLGTEN
mi07,ZUZUG VON: WIRTSCHAFTSMIGRANTEN
mi08,ZUZUG VON: EU-ARBEITN. AUS OSTEUROPA
mi09,ZUZUG VON: ARBEITN. ANDERER EU-STAATEN
mi10,ZUZUG VON: NICHT-EU-ARBEITSKRAEFTEN
mi11,"ZUZUG VON: EHEPARTNER,KINDER V.MIGRANTEN"
mp01,AUSLAENDER:TUN DIE UNSCHOENEN ARBEITEN
mp02,AUSLAENDER:BELASTEN UNSER SOZIALES NETZ
mp03,AUSLAENDER:BEREICHERN UNSERE KULTUR
mp04,AUSLAENDER:VERKNAPPEN WOHNUNGEN
mp05,AUSLAENDER:STUETZEN DIE RENTENSICHERUNG
mp06,AUSLAENDER:NEHMEN ARBEITSPLAETZE WEG
mp07,AUSLAENDER:BEGEHEN HAEUFIGER STRAFTATEN
mp08,AUSLAENDER:SCHAFFEN ARBEITSPLAETZE
mp10,AUSLAENDER: DEUTSCHLAND WIRD TOLERANTER
mp12,AUSLAENDER: WENIGER FACHKRAEFTEMANGEL
mp16,FLUECHTL. CHANCE O.RISIKO: SOZIALSTAAT
