Section_Class,ID,Description,Heads_of_Families,Wives,Children_under_15,Young_Persons_15_to_20,Unmarried_Men_and_Widowers,Total_Persons,A,B,C,D,E,F,G,H,Total_Classes,District,poverty_rate,kids_per_household,unmarried_ratio
Females,36,Employing and professional,85.0,0.0,138.0,32.0,0.0,255.0,0.0,0.0,0.0,20.0,105.0,90.0,40.0,0.0,255.0,Hackney,0.0784313725490196,1.6235294117647059,0.0
Females,37,Supported,172.0,0.0,252.0,59.0,0.0,483.0,0.0,80.0,28.0,75.0,230.0,65.0,5.0,0.0,483.0,Hackney,0.37888198757763975,1.4651162790697674,0.0
Females,38,Independent,178.0,0.0,238.0,56.0,0.0,472.0,0.0,0.0,0.0,26.0,215.0,101.0,130.0,0.0,472.0,Hackney,0.05508474576271186,1.3370786516853932,0.0
Other,39,Other adult women,0.0,0.0,0.0,0.0,0.0,15773.0,184.0,1734.0,1184.0,1668.0,5993.0,3595.0,1219.0,196.0,15773.0,Hackney,0.30241552019273443,0.0,0.0
Other,40,Population of unscheduled houses,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,8500.0,0.0,0.0,31500.0,40000.0,Hackney,0.0,0.0,0.0
Total,Total,0,26310.0,24322.0,53262.0,12654.0,10543.0,182864.0,1647.0,15710.0,10741.0,15159.0,62725.0,32712.0,10904.0,33266.0,182864.0,Hackney,0.2365528480181993,2.0244013683010262,0.057654869192405284
Labour,1.0,Loafers and criminals,409.0,403.0,139.0,352.0,795.0,2098.0,2098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2098.0,Whitechapel,1.0,0.33985330073349634,0.37893231649189707
0,2.0,Casual day-to-day-labour,500.0,493.0,825.0,238.0,793.0,3029.0,0.0,2939.0,90.0,0.0,0.0,0.0,0.0,0.0,3029.0,Whitechapel,1.0,1.65,0.26180257510729615
0,3.0,Irregular Labour,295.0,291.0,544.0,158.0,174.0,1462.0,0.0,192.0,1184.0,86.0,0.0,0.0,0.0,0.0,1462.0,Whitechapel,1.0,1.8440677966101695,0.11901504787961696
0,4.0,"Regular work, low pay",401.0,395.0,678.0,197.0,236.0,1907.0,0.0,90.0,0.0,1817.0,0.0,0.0,0.0,0.0,1907.0,Whitechapel,1.0,1.6907730673316708,0.12375458835867856
0,5.0,Regular work,1272.0,1256.0,2377.0,689.0,749.0,6343.0,0.0,0.0,0.0,1079.0,5264.0,0.0,0.0,0.0,6343.0,Whitechapel,0.17010878133375373,1.8687106918238994,0.11808292606022387
0,6.0,Foremen and responsible work,115.0,114.0,244.0,70.0,68.0,611.0,0.0,0.0,0.0,0.0,32.0,579.0,0.0,0.0,611.0,Whitechapel,0.0,2.121739130434783,0.11129296235679215
Artisans,7.0,Building trades,258.0,255.0,511.0,149.0,153.0,1326.0,0.0,53.0,145.0,265.0,809.0,53.0,0.0,0.0,1326.0,Whitechapel,0.3491704374057315,1.9806201550387597,0.11538461538461539
0,8.0,"Furniture, woodwork",364.0,359.0,708.0,206.0,210.0,1853.0,0.0,130.0,139.0,315.0,1195.0,65.0,0.0,0.0,1853.0,Whitechapel,0.31516459794927143,1.945054945054945,0.11332973556395035
0,9.0,Machinery and metals,185.0,183.0,327.0,95.0,109.0,899.0,0.0,97.0,389.0,388.0,25.0,0.0,0.0,0.0,899.0,Whitechapel,0.9721913236929922,1.7675675675675675,0.12124582869855395
0,10.0,Sundry artisans,618.0,608.0,1120.0,327.0,362.0,3035.0,0.0,924.0,3430.0,3206.0,6348.0,480.0,0.0,0.0,3035.0,Whitechapel,2.4909390444810544,1.8122977346278317,0.11927512355848435
0,11.0,Dress,2597.0,2556.0,5221.0,1507.0,1525.0,13406.0,0.0,83.0,0.0,1016.0,3753.0,0.0,0.0,0.0,13406.0,Whitechapel,0.08197821870804117,2.0103966114747784,0.11375503505892884
